timestamp,agent,market,predicted,actual,current_price,squared_error,naive_se,direction_correct,methodology_version,horizon
1775099173.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775077319.0,quant,regime_fall,0.105,0.135,0.105,0.0009,0.0009,False,1.13.0,24h
1775077319.0,naive_baseline,regime_fall,0.105,0.135,0.105,0.0009,0.0009,False,N/A,24h
1775099173.0,quant,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,1.13.0,24h
1775099173.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775109153.0,momentum,regime_fall,0.125862,0.135,0.115,8.35e-05,0.0004,True,1.13.0,24h
1775109153.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775109153.0,historian,regime_fall,0.119309,0.135,0.115,0.00024621,0.0004,True,1.13.0,24h
1775109153.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775109153.0,game_theorist,regime_fall,0.8575,0.135,0.115,0.52200625,0.0004,True,1.13.0,24h
1775109153.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775109154.0,quant,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,1.13.0,24h
1775109154.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775121237.0,momentum,regime_fall,0.113897,0.135,0.115,0.00044534,0.0004,False,1.14.0,24h
1775121237.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775121237.0,historian,regime_fall,0.123433,0.135,0.115,0.0001338,0.0004,True,1.14.0,24h
1775121237.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775121237.0,game_theorist,regime_fall,0.2785,0.135,0.115,0.02059225,0.0004,True,1.14.0,24h
1775121237.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775121237.0,quant,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,1.14.0,24h
1775121237.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775137487.0,momentum,regime_fall,0.11541,0.135,0.115,0.00038377,0.0004,True,1.14.0,24h
1775137487.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775137487.0,historian,regime_fall,0.127554,0.135,0.115,5.544e-05,0.0004,True,1.14.0,24h
1775137487.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775137487.0,game_theorist,regime_fall,0.26395,0.135,0.115,0.0166281,0.0004,True,1.14.0,24h
1775137487.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775137487.0,quant,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,1.14.0,24h
1775137487.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775149895.0,momentum,regime_fall,0.116583,0.145,0.115,0.00080753,0.0009,True,1.14.0,24h
1775149895.0,naive_baseline,regime_fall,0.115,0.145,0.115,0.0009,0.0009,False,N/A,24h
1775163014.0,momentum,regime_fall,0.102147,0.145,0.135,0.00183638,0.0001,False,1.14.0,24h
1775163014.0,naive_baseline,regime_fall,0.135,0.145,0.135,0.0001,0.0001,False,N/A,24h
1775149895.0,historian,regime_fall,0.124646,0.145,0.115,0.00041429,0.0009,True,1.14.0,24h
1775149895.0,naive_baseline,regime_fall,0.115,0.145,0.115,0.0009,0.0009,False,N/A,24h
1775163014.0,historian,regime_fall,0.148801,0.145,0.135,1.445e-05,0.0001,True,1.14.0,24h
1775163014.0,naive_baseline,regime_fall,0.135,0.145,0.135,0.0001,0.0001,False,N/A,24h
1775149895.0,game_theorist,regime_fall,0.3835,0.145,0.115,0.05688225,0.0009,True,1.14.0,24h
1775149895.0,naive_baseline,regime_fall,0.115,0.145,0.115,0.0009,0.0009,False,N/A,24h
